BARCODE;ONHAND;COUNT
8859052655506;3;3
8859052655605;3;3
8859052655407;5;5
8859052655100;9;9
8859052655902;5;5
8859052655209;7;7
8859052655803;6;6
8847100570017;8;8
8847100570406;5;5
8847100570369;14;14
8847100570444;6;6
8847102551694;7;7
8847102551700;1;1
8847102340151;9;9
8001860010019;0;0
8859052655704;4;4
8005121218107;16;16
8001860201011;0;0
8847102340625;5;5
8847102341073;25;25
8845555551667;4;4
8847101088887;10;10
8847102810098;14;14
23702357;21;27
8847102340243;29;29
23701069;16;29
8847100462282;1;1
20300299961984;6;5
8847102340304;8;8
8847102710022;6;6
8847102810081;11;11
20300299941984;7;7
8846000570028;14;14
8847104455679;1;0
8847101081680;5;4
8847101087774;8;8
8847100461230;0;2
20300299951984;7;7
8847100461247;0;0
8845555551360;2;2
8847100466228;7;7
8847101088771;15;15
8847100462428;1;1
8847100461261;2;2
8847102710053;2;2
8845555558888;6;6
8847100570192;19;17
8847102551724;5;5
8847100570031;8;8
8847102551014;6;6
8847103281125;5;5
8847103281149;5;5
8847103281118;5;5
8847103281170;2;1
8847103281156;3;4
8847103281217;5;5
8847103281026;2;2
8847103281033;5;5
8847103281040;3;3
8847103281101;3;3
8847103281002;2;2
8847103281019;2;2
8847103281064;5;5
8847102551687;6;6
8847100466259;6;6
8847100462251;7;7
8847100570116;2;2
8847100570048;1;1
8847100461254;2;2
8850297990216;3;3
9555127905222;0;0
9555127905109;0;0
8852633351996;0;0
8850341502402;11;11
8852633331905;8;8
8850310000854;9;8
8850030031671;19;19
8850030030339;15;15
9556995170132;0;0
8850297114117;0;0
8850030112011;22;22
9555127905185;14;14
8938509627058;0;0
9555218708879;0;0
8850030160456;0;0
8850030110468;41;41
4902110340075;0;0
8850180040011;0;0
8850180040028;0;0
8850030005160;0;0
9555127905239;0;0
8934734052030;9;9
9555127908230;0;0
8850144074014;20;20
8888970696964;7;6
8852633333503;9;9
8850038200017;-1;0
8850297990025;9;9
8850341100011;0;0
20700199931984;0;0
8850341800041;8;8
8853991002247;1;1
8850298105008;39;39
9555127908131;0;0
20700199911984;0;0
20700199981984;0;0
20700198901984;0;0
8850298110002;29;30
8850144074038;12;12
8850310001226;3;2
8850341700037;8;8
8850341121146;0;0
8850341121115;0;0
8005121004182;0;0
8850341121122;5;5
8850341700020;5;5
8850310000748;11;10
8850310000731;15;14
8850341600023;0;0
8850310000717;11;9
8850310000724;4;4
8801007039435;8;8
8851436080027;9;0
9555218704116;0;0
8801007039442;-2;0
8801007036113;3;3
8847105056073;19;18
8886350000028;0;0
8888970696995;-1;0
8886350000042;0;0
8886350000059;0;0
8886350000011;0;0
8853991009215;17;36
8847105056127;10;12
9556995170507;0;0
8850341100028;11;11
8850341300237;12;12
8850341200025;1;1
33200011101;6;6
8850332194166;0;0
9555127901163;0;0
16000455306;0;0
9555127907875;0;0
9555127901880;0;0
16000455108;0;0
8005121218206;25;25
6917790198951;9;9
8850332192117;0;0
9555127901422;0;0
54061057;0;0
9555127902320;8;8
9555127905949;9;9
9555127905987;0;0
9555127905963;3;3
8934746051939;3;3
9555127905895;2;2
8850310000816;9;9
9555127905970;0;0
9555127902160;0;0
9555127904089;0;0
9555127900753;46;46
9555127900784;0;0
9555127900722;-1;0
9555127900692;0;0
9555127900715;0;0
8935122000060;33;33
20100199781984;5;5
8934746053988;4;4
8935122052014;32;32
9555127900739;0;0
8858732808966;10;10
8938500639036;14;14
9555127900777;22;0
8850297100929;4;4
8858557000026;0;0
8847105056271;4;4
8847105056103;4;4
8850341400067;6;6
8850341400043;5;5
8847105056080;14;14
8847105056141;0;0
8852071071029;0;0
8847105056035;21;21
8847105056042;11;11
8847105056011;7;7
8847105056066;6;6
8847105056059;8;8
8847105056134;6;6
8847105056264;11;11
8847105056028;4;4
8850344200176;30;30
8850367100071;97;96
8850813120196;41;41
8850367100118;1;0
8850344200213;0;0
8850813102000;0;0
9311627604771;3;3
8850813104998;0;0
8850813102017;0;0
8850344004187;0;0
8850367100101;28;28
8850030006693;18;23
8850030006679;7;7
8850030006709;20;20
8850030006747;21;21
8850030006686;23;28
8850030006730;21;16
8850030006716;20;20
8850030006723;22;16
8850030005122;22;22
8850030005115;26;26
8850030118013;12;12
8850030030308;13;36
8850030030322;21;21
8850030118075;22;21
8850030118211;19;19
8850030118228;23;23
8850144228226;257;151
8850144059097;34;34
8850144068075;2;2
8850144207870;34;40
8850144207894;19;12
8850144228202;14;13
8850144227632;0;0
8850144228172;18;16
4800888212092;5;5
8850144202592;37;37
8850144228233;51;57
8850144224761;35;35
