1;8887155020556;Simply Pure Soya Oil 4X5L;A.S.R Flour Co.,Ltd;400-034;8;2024-12-24;RETURN;G02B-C02-L1;180
2;9556995121110;Torto Cheese Cookies;AFT AGRO FRESH TRANDING CO., LTD;100-045;7;2024-12-18;RETURN;G06B-C07-L4;90
3;9556995202871;White Castle Chocolate Chips Butter Cookies;AFT AGRO FRESH TRANDING CO., LTD;100-045;5;2025-04-02;RETURN;G06B-C04-L4;90
4;9556995203465;White Castle Chocolate Chips Butter Cookies(150g);AFT AGRO FRESH TRANDING CO., LTD;100-045;16;2024-11-08;RETURN;G06B-C07-L6;90
5;8858812711285;Bird's Nest TT7 Glass (Ginseng Sugar Free) 75ml;AK CAMBODIAN TRADING CO., LTD.(VAT);100-094;1;2025-12-29;RETURN;GMIL-C01-L2;90
6;8858812711193;Bird's Nest TT7 Glass( Sugar Free);AK CAMBODIAN TRADING CO., LTD.(VAT);100-094;15;2025-12-29;RETURN;GMIL-C01-L3;180
7;5000204660647;APPLIC SHINE BLACK 75ML KIWI;AMN COMPANY PHNOM PENH;400-240;12;2027-08-18;NORETURN;;180
8;5000204660692;APPLIC SHINE BROWN 75 ML KIWI;AMN COMPANY PHNOM PENH;400-240;12;2027-11-23;NORETURN;;180
9;5000204660586;APPLIC SHINE TRANSP 75ML KIWI;AMN COMPANY PHNOM PENH;400-240;12;2027-11-23;NORETURN;;180
10;5000204660586;APPLIC SHINE TRANSP 75ML KIWI;AMN COMPANY PHNOM PENH;400-240;12;2027-11-23;NORETURN;;180
11;5000204660586;APPLIC SHINE TRANSP 75ML KIWI;AMN COMPANY PHNOM PENH;400-240;12;2028-01-14;NORETURN;;180
12;3258561060064;Belle France Chocolat Noir aux Éclats de Fèves de Cacao Dégustation 100g;AMN COMPANY PHNOM PENH;400-240;13;2024-05-30;NORETURN;G07B-C02-L3;90
13;3258561060026;Belle France Chocolat Noir Supérieur 100g;AMN COMPANY PHNOM PENH;400-240;14;2024-07-30;NORETURN;G07B-C02-L3;90
14;3258561640617;Belle France Mousse à Raser Shaving Foam Sweet Amand Oil Normal Skin 200ml;AMN COMPANY PHNOM PENH;400-240;3;2024-09-30;NORETURN;NCHA-C05-L2;180
15;5000204660128;Kiwi Express Shine Sponge 7ml;AMN COMPANY PHNOM PENH;400-240;12;2025-08-25;NORETURN;;180
16;5000204823455;KIWI PARADE GLOSS PRESTIGE SHOW POLISH BLACK-NOIR 50ML;AMN COMPANY PHNOM PENH;400-240;12;2028-01-30;NORETURN;;180
17;40111445;M&M'S peanut candy 45g;AMN COMPANY PHNOM PENH;400-240;6;2024-07-07;NORETURN;G07B-C03-L4;90
18;5000159407236;MARS bar chocolate candy 51g;AMN COMPANY PHNOM PENH;400-240;1;2024-07-15;NORETURN;G07B-C02-L5;90
19;40052397;NESTLE kitkat chocolate candy 41.5g;AMN COMPANY PHNOM PENH;400-240;32;2024-10-31;NORETURN;G07B-C02-L4;90
20;5000204823486;POLISH BROWN 50ML GLOSS KIWI;AMN COMPANY PHNOM PENH;400-240;12;2028-01-30;NORETURN;;180
21;6972713110120;QIANKEJING Shoe Polish 100ml;AMN COMPANY PHNOM PENH;400-240;12;2028-09-14;NORETURN;;180
22;5000159461122;SNICKERS chocolate bar 50g;AMN COMPANY PHNOM PENH;400-240;60;2024-09-26;NORETURN;G07B-C02-L4;90
23;3258561140858;Tomato Ketchup 560g;AMN COMPANY PHNOM PENH;400-240;7;2024-07-19;NORETURN;G02A-C02-L3;90
24;5000204060393;TUBE CREAM TRANSP 75 KIWI;AMN COMPANY PHNOM PENH;400-240;12;2025-10-29;NORETURN;;180
25;5762385060028;Tulip Délice de Jambon Classic 200g;AMN COMPANY PHNOM PENH;400-240;12;2025-08-23;NORETURN;G02B-C07-L3;90
26;8849300650018;MIMI CLOSE TOUCHING 10PCS;Angel Trading (Cambodia) (VAT);400-368;13;2026-01-20;RETURN;N12A-C05-L7;90
27;8849300650018;MIMI CLOSE TOUCHING 10PCS;Angel Trading (Cambodia) (VAT);400-368;13;2026-02-10;RETURN;N12A-C05-L7;90
28;8849300650018;MIMI CLOSE TOUCHING 10PCS;Angel Trading (Cambodia) (VAT);400-368;7;2026-02-28;RETURN;N12A-C05-L7;90
29;8849300650032;MIMI HERBAGE PLANT;Angel Trading (Cambodia) (VAT);400-368;26;2026-04-24;RETURN;N12A-C05-L7;90
30;8849300650063;MIMI PANTILINER SLIGHTLY PERFUMED 20PCS;Angel Trading (Cambodia) (VAT);400-368;4;2026-05-30;RETURN;N12A-C05-L7;90
31;8849300650063;MIMI PANTILINER SLIGHTLY PERFUMED 20PCS;Angel Trading (Cambodia) (VAT);400-368;7;2026-06-10;RETURN;N12A-C05-L7;90
32;8849300650209;MIMI SUPER 10pcs;Angel Trading (Cambodia) (VAT);400-368;2;2025-11-20;RETURN;N12A-C05-L7;90
33;8849300650209;MIMI SUPER 10pcs;Angel Trading (Cambodia) (VAT);400-368;5;2026-03-20;RETURN;N12A-C05-L7;90
34;8849300650209;MIMI SUPER 10pcs;Angel Trading (Cambodia) (VAT);400-368;5;2026-06-10;RETURN;N12A-C05-L7;90
35;3023470020016;12 PALETS SHORTBREADS 150g;ANNAM CAMBODIA COMPANY;100-015;6;2024-08-18;RETURN;G06A-C06-L4;90
36;8713800139727;18 Fruit Flavours 200G;ANNAM CAMBODIA COMPANY;100-015;33;2025-04-16;RETURN;G07B-C04-L2;90
37;8713800139222;18 Fruit Flavours 70G;ANNAM CAMBODIA COMPANY;100-015;40;2024-10-18;RETURN;G07B-C04-L2;90
38;8713800139710;18 Fruit Flavours 90G;ANNAM CAMBODIA COMPANY;100-015;40;2024-10-30;RETURN;G07B-C04-L3;90
