BARCODE;NAMEKH;NAMEEN;NOTE;COST;VENDORID
6964160801546;កន្ត្រៃកាត់ក្រចក;The Fei Tian nail cutter;;0.4500;
6921566852589;ឈុតម្ជុលដេរប្រអប់;Superior Goods Series;;0.5000;1
6932335101319;ឈុតកាត់ក្រចក;AIMINI nail clipper set  (beauty tools fashionable  style);;0.4500;1
6971341126145;ឈុតប៉ុងផាត់មុខ&ជក់;MADAMEI beauty set;;0.3750;1
6970683941614;ដកអាល់កុលថ្លា;Spray plastic bottle;;0.2917;1
6921509901381;ឈុតឡានជ័រក្មេងលេង;Kid toys car set 399-443;;1.7500;1
6971179650430;ឈុតឡានជ័រក្មេងលេង;Kid toys fun truck set;;1.7500;1
8936099153308;ត្រាក់ទ័រជ័រក្មេងលេង;Kid toys fun truck;;1.8750;1
41700899971984;ឈុតឡានជ័រជីកដី  ក្មេងលេង;Kids toy fun   contruction truck;;1.6250;1
8936099153308;គ្រឿងជ័រក្មេងលេង;Kids toys;;1.9500;1
40100799851984;ដង្កៀប;Claw Hair Clip;;0.3750;1
40100796521984;ដង្កៀបកៀបសក់;Crystal hair clip;;0.5625;1
41900798991984;កង្ហារអិលអ៊ីឌី;KMK super bright  LED fan kmk-1212;;24.0000;2
6941021200618;ឧបករណ៍ឆក់មូស;MEILIN Electric  Mosquito racket;1 ctn x 50 unit  NO:ML-3688BD;2.5000;2
41900898501984;ឧបករណ៍ឆក់មូស;TIGER WORLD  Mosquito Stationary;1 ctn x 60 unit  2000V-3000V;2.6666;2
41900899081984;ឧបករណ៍ឆក់មូស  INTERNATIONAL;Rechargeable Mosquito  Flyswatter;Model: VT-RM8;2.5000;2
41400999871984;ចង្ក្រានហ្គាសភ្លោះ;WINMAX double  burner gas stove;;44.0000;2
41400999881984;ចង្ក្រានហ្គាសភ្លោះ;GINOSI double   burner gas stove;;35.0000;2
41400999911984;បំពង់ទឹកក្តៅអគ្គិសនី  DR - 25  Power: 730 W;Electric airpot 2.5L;1 កេស x 6 គ្រឿង  ចំណុះ ​2.5 លីត្រ;16.0000;2
41400999921984;បំពង់ទឹកក្តៅអគ្គិសនី  DR - 500 (Inbox)  Power: 730 W;Electric airpot 5L;ចំណុះ 5 លីត្រ;24.0000;2
41400999931984;កំសៀវអគ្គិសនី  DR - K25  220-240V-2000W;Electric kettle 2.5L;1 កេស x 12 គ្រឿង  ចំណុះ 2.5 L;8.3333;2
41400999941984;កំសៀវអគ្គិសនី  (រូបសេះ);Electric kettle 1.5L;ចំណុះ 1.5 L;4.8333;2
6945110000394;កំសៀវអគ្គិសនី;Electric kettle 1.5L;ចំណុះ 1.5 L;4.8333;2
41400999981984;កំសៀវអគ្គិសនី  (រូបសេះ);Electric kettle 2L;ចំណុះ 2​ លីត្រ;6.3333;2
41400999891984;ឆ្នាំងដុតមាន់អគ្គិសនី  DR - 17S  1200-1400W;DR convection oven  heating elements;ចំណុះ 17 លីត្រ   ឬគីឡូ;26.0000;2
41400999901984;ចង្ក្រានអាំងហ្វ្រាអគ្គិសនី  DR - 2019;Infrared cooker dr-2019;N/A;28.5000;2
6958863508659;ទឹកលាងចង្ក្រាន;YOUBO spray  (kitchen cleaner);1 ctn x 24 unit  500 ml;2.9167;2
41300499991984;ឆ្នាំងអ៊ុតអគ្គិសនី  Modelo Ni-02A;ATOMATIC dry iron;1 កេស x 12 ឆ្នាំង;7.5000;2
41900899291984;ព្រីភ្លើង 1ជួរ6​រន្ធ  Thailand;Power strip 1 line cable  3 meters 6 ways;1 កេស x 24 ព្រី  ខ្សែប្រវែង 3 m;2.2917;2
41900899271984;ព្រីភ្លើង 01ជួរ 6​ រន្ធ  Thailand;Power strip 1 line cable  5 meters 6 ways;1 កេស x 24 ព្រី  ខ្សែប្រវែង 5​ m;2.5000;2
41900899281984;ព្រីភ្លើង 01ជួរ 6​ រន្ធ  Thailand;Power strip 1 line cable   10 meters 6 ways;1 កេស x 24 ព្រី  ខ្សែប្រវែង 10​ m;3.2917;2
41900199001984;ព្រីភ្លើង 02ជួរ 6​ រន្ធ  Thailand;Power strip 2 line cable  5 meters 6 ways;1 កេស x 24 ព្រី  ខ្សែប្រវែង 5 m;3.0000;2
41900899261984;ព្រីភ្លើង 02ជួរ 6​ រន្ធ  Thailand;Power strip 2 line cable  10 meters 6 ways;1 កេស x 24 ព្រី  ខ្សែប្រវែង 10 m;4.0000;2
41900199951984;ព្រីភ្លើងបញ្ឈរ 4ជួរ  5ថ្នាក់ 20រន្ធ;Power strip 4 line cable  2.5 meters 20 ways;1 កេស x 12 ព្រី  ខ្សែប្រវែង 2.5 m;10.3330;2
41900199961984;ព្រីភ្លើងពណ៌ 01ជួរ04រន្ធ  មានរន្ធយូអេសប៊ី;Power strip 1 color line  cable 1.8meters 4 ways  with USB pot;1 កេស x 80 ព្រី  ខ្សែប្រវែង 1.8 m;3.0000;2
41900199941984;រ៉ូឡូភ្លើង រន្ធ 03  Thailand;UNIVERSAL cable reel  power strip cable 5  meters 3 ways;1 កេស x 24 ព្រី  ខ្សែ 05 ម៉ែត្រ;2.0000;2
41900899971984;រ៉ូឡូភ្លើង រន្ធ 03  Thailand;UNIVERSAL cable reel  power strip cable 10  meters 3 ways;1 កេស x 24 ព្រី  ខ្សែ 10 ម៉ែត្រ;2.5000;2
41900899961984;កង្ហារតូចសាកថ្មបាន;Rechargeable mini fan  AC/DC operated  model: KN-2907;1 កេស x 12 កង្ហារ;10.0000;2
41000599981984;ក្រមួនលាបបំបាត់ស្នាម  លើដងខ្លួន Vaseline;Vaseline Body stain remover;7 g;0.5208;3
8858910622209;ប៉ុងតបមុខ Odbo;Cosmetic Set Odbo;N/A;3.9166;3
8859490001262;ទឹកលាងមុខក្រោយផាត់មុខ  NEE CARA;Makeup cleanser   NEE CARA;150 ml;2.1666;3
8859178711179;ថ្នាំដុសធ្មេញក្លិនប្រហើរ  Mistine;Mistine toothpaste;100 g;3.0000;3
8859178707349;សាប៊ូដុសមុខបំបាត់មុន  Mistine;Mistine soap (acne clear);90 g;1.2005;3
8858994441949;គូល័រផាត់ត្របកភ្នែក  Sivanna Colors;Face powder Sivanna;N/A;1.3333;3
8858994453348;គូល័រផាត់ថ្ពាល់  Sivanna Colors # 03;Face powder #03  Sivanna;N/A;3.1666;3
8858994453324;គូល័រផាត់ថ្ពាល់  Sivanna Colors # 01;Face powder #01  Sivanna;N/A;3.1666;3
8858994453362;គូល័រផាត់ថ្ពាល់  Sivanna Colors # 05;Face powder #05  Sivanna;N/A;3.1666;3
8858994453355;គូល័រផាត់ថ្ពាល់  Sivanna Colors # 04;Face powder #04  Sivanna;N/A;3.1666;3
8851932398640;សាប៊ូទឹកដុសខ្លួនជំរុះ  កោសិកាស្បែកចាស់  ;Lux body wash  Exfoliating Shampoo;450 ml;3.8333;3
8851932398633;សាប៊ូទឹកដុសខ្លួនទឹកឃ្មុំ  ជំនួយស្បែករលោង;Lux Honey Body Soap  Smooth skin aid;450 ml;3.8333;3
8851932398619;សាប៊ូទឹកដុសខ្លួន;Lux body wash;450 ml;3.8333;3
8851932398626;សាប៊ូទឹកដុសខ្លួនក្លិន  ផ្កាឈូករ័ត្ន;Lux body wash;450 ml;3.8333;3
8851932408905;សាប៊ូទឹកដុសខ្លួនក្លិនផ្កា;Lux body wash;450 ml;3.8333;3
8850434020158;ម៉ាស្ការ៉ាផាត់រោមភ្នែក;MAYBELLINE mascara;9.2​ g;2.6666;3
8858910623961;គូល័រផាត់ថ្ពាល់;ODBO makeup color;15 g;3.0000;3
8858910623954;គូល័រផាត់ថ្ពាល់;ODBO makeup color;15 g;3.0000;3
8850722663746;ម្សៅផាត់មុខជំនួយស្បែកស  និងមានសំណើម  AR aron;Whitening Facial Powder  And moist;13 g;1.5833;3
8850722092928;ហ៊្វូមលាងមុខទឹកដោះគោ;Milky Cleansing Foam;190 g;1.4166;3
8850722093352;ហ្វូមលាងមុខជំនួយស្បែក  ;AR facial wash;190 g;1.4166;3
8850722046891;សេរ៉ូមលាបដងខ្លួន  ជំនួយស្បែកមានសំណើម  ;AR body serum;600 ml;2.3333;3
8850722045726;ឡេលាបដងខ្លួនជំនួយ   ស្បែកមានសំណើម  ;AR moisturizing lotion;600 ml;2.3333;3
8850722114934;គ្រីមវីតាមីនលាបមុខ;AR armpit cream;10 g;1.2500;3
