Item Code;ORDER POINT;ORDER POINT
6930791600148;24;48
6930791600155;24;48
6930791600162;24;48
6930791600186;24;48
6930791600179;24;48
6948564902054;24;48
6948564902085;24;48
6948564902108;24;48
6948564902061;24;48
8847102030014;24;24
8847102030021;24;24
8847102030038;24;24
5391516874342;24;24
5391516871600;24;24
5391516872720;24;24
74090916459;24;24
78000052428;12;24
4904670216784;6;12
9421030101634;6;12
9421030100439;6;12
9421027896475;6;12
6939119200411;6;12
5011013100132;6;12
9421027896437;6;24
9421027896376;6;24
9421030100583;6;24
6970233060918;6;24
6970233060888;6;24
6970233060857;6;24
6970233060895;6;24
8902136025044;6;24
8902136524042;6;24
8902136012433;6;24
8902136006432;6;24
6935145301061;6;24
6935145301078;6;24
6935145301016;6;24
6935145301023;6;24
6935145301030;6;24
6935145301047;6;24
6935145302020;6;24
6935145302013;6;24
6935145302037;6;24
6935145302044;6;24
8850382130008;6;24
8850382311124;6;24
9329982017587;6;24
9414453904401;6;24
9414453906078;6;24
9329982016542;6;24
9414453912734;6;24
6970233060871;6;6
6970233060901;6;6
8850382001087;6;15
8850382330026;6;24
8850382404246;6;6
8850382404215;6;6
5010677551311;6;12
5010677552387;6;12
5010677554398;6;12
5011013100118;3;6
3258561370255;3;6
8004027034491;3;6
8850382312077;3;6
8008900007299;3;6
8850999016580;24;60
8850999008202;24;60
8850999111001;24;60
8848858120028;24;60
8848858120066;24;60
6901035616416;24;60
8851993513013;24;60
8851993613010;24;60
8850999008165;24;60
9556057427013;24;60
8848017114011;24;60
8848017111010;24;60
8848858120035;24;60
8848858120073;24;60
4901004002457;24;60
8936094299704;24;60
8936094293108;24;60
8801858011017;24;60
8847100740878;24;60
8848858120547;24;60
8848858120905;24;60
8848017117012;24;60
8712000030575;24;60
8801119853301;24;60
8850999171401;24;60
6937841100344;24;60
4801032741048;24;60
8858259008139;24;60
8850999112107;24;60
8848017112017;24;60
8848017118019;24;60
8848858120646;24;60
8801119846808;24;60
3250391539840;12;24
3250391357321;12;24
75032715;12;60
5410228224747;12;24
8936236201206;12;24
4066600611981;10;20
8850999141008;6;12
9556027050265;6;12
8936061260331;24;60
8886002100007;24;60
86428330011;24;60
8848017114004;24;60
8888017110125;24;60
8848017119009;24;60
8848017111003;24;60
8848858120011;24;60
8848858120059;24;60
8886002100229;24;60
8847100740168;24;60
8936094293207;24;60
8847100740199;24;60
8848858120714;24;60
8851993623019;24;60
8846956788119;24;60
88469567881261;24;60
8848017116008;24;60
8848017115001;24;60
8848858120813;24;60
8848858120875;24;60
4066600611301;24;60
8848017117005;24;60
8848858120936;24;60
8850999143002;24;60
8718104900394;24;60
8936061260218;24;60
8850999113005;24;60
6949352201625;24;60
8848017112000;24;60
8848017118002;24;60
6901035609715;24;60
6901035616331;24;60
6901035609265;24;60
8725000174958;24;60
8850999016566;12;60
8850999009728;12;60
3119780268788;12;20
8886002101264;12;24
781870;12;24
8848858120745;12;60
5000213101223;12;24
8801119164018;12;24
3080210004491;12;60
6949352201403;12;24
3119780268696;12;24
8848858120974;12;24
8850999017709;12;24
8848858120639;12;24
8801021083025;6;24
8801119854407;6;24
8851959132548;6;24
8;6;24
8725000637514;4;6
3119780268894;4;10
8712000025649;4;10
8718104903968;4;10
3258561350035;3;6
3258561350189;3;6
3438931001600;3;6
3258431000008;2;3
3258438000001;1;2
3113870000029;1;2
6925623767762;12;60
6906785230165;12;24
6941571600036;6;12
6901798101884;6;12
6938400103127;6;12
6906151612915;6;12
6941742300451;6;12
6941742300086;6;12
6922747800566;6;12
6939119200381;6;12
6906785005015;6;12
6901798810137;6;12
6906785230868;6;12
6906151600462;6;12
6906785230851;6;12
6901798192127;6;12
6922598825312;6;12
6903431119546;6;12
6921334981688;6;12
6909131283921;6;12
6938514100326;6;12
6956439300171;6;12
6938400103059;6;12
6938400100836;6;12
6901798100160;6;12
6909640017345;6;12
6906151623959;6;12
6906151601551;6;12
4905846114767;6;12
4905846114804;6;12
4905846114798;6;12
49337006;6;12
6938514100449;6;12
6938514100715;6;24
6941742300895;6;24
6935888100037;6;24
6935888100518;6;24
6909131169201;6;12
6938400100768;6;24
6938400100782;6;24
69020001;6;40
6931978600173;6;6
6901382015993;6;6
6901221920297;6;6
6902952882861;6;6
6901798120854;6;6
6930525850429;6;6
6902212048792;6;6
6902212027155;6;6
6949824684819;6;6
6928493522622;4;10
6904508004055;3;6
6903431238872;3;6
6932599212202;3;12
6932599212219;3;12
6903431211097;3;12
6909131280647;3;6
4905846111261;3;6
6909640008053;3;6
6909640012487;3;6
6901221947256;3;6
6923529904694;3;6
6906151601155;3;6
6930778400259;2;4
6906151601094;2;4
6906151601230;2;4
6901028000642;20;30
6901028001618;20;30
50205554;10;20
50661688;10;20
8888075020411;10;20
30000452;10;20
88400310;10;20
88400136;10;20
89900161;10;20
89900024;10;20
89900017;10;20
89911099;10;20
88400525;10;20
89916889;10;20
50205530;10;20
4033100066092;10;20
8801116000937;10;20
8801116007097;10;20
8801116005574;10;20
88011967;10;20
88011929;10;20
8801116000593;10;20
95510224;10;20
76164149;10;20
76239878;10;20
89302897;10;20
76164217;10;20
95510842;10;20
88400884;10;20
4902210200804;10;20
4033100033186;10;20
4033100067235;10;20
88401027;10;20
49401196;10;20
50205547;10;20
6901028000413;10;20
88400976;10;20
4033100077593;10;20
4033100078439;10;20
6901028045902;10;20
6901028317122;10;30
6901028311694;10;20
6901028046886;10;20
88401829;10;100
4033100082290;10;100
8846000360087;6;10
8846000360223;6;10
88400457;6;12
88400730;6;12
123123;6;6
89304105;6;6
4033100066061;6;6
123193;5;10
88400037;5;10
88400051;5;10
88400013;5;10
6901028075763;5;10
6901028075770;5;10
6901028193498;5;10
6901028118170;5;10
8997018460150;5;10
6901028075862;5;10
89300527;5;10
8851717904356;5;10
8851717906114;5;10
8851717904349;5;10
8851717904332;5;10
8809041428383;24;24
4710421020155;24;24
8855790000165;12;24
8855790000011;10;50
8850228000106;10;50
70030127169;6;12
6921168594368;6;15
6921168550128;6;12
4897054890017;6;12
52000328677;6;12
52000014549;6;12
52000014594;6;12
52000014587;6;12
52000207699;6;12
52000328660;6;12
52000324860;6;12
52000324815;6;12
52000328684;6;12
52000010305;6;12
52000207590;6;12
6921168550142;6;12
49000003710;6;12
49000003697;6;12
49000047141;6;12
6921168504015;6;12
6902538004045;6;15
6902538004052;6;15
6902538007169;6;15
6902538005141;6;15
8806016117310;6;24
8806016117419;6;24
9002490221249;6;24
20800499001984;6;24
